A-bomb|s:a-bombs
aitch|s:aitches,d:aitched
aiter|s:aiters
ajr|s:ajrs
AK|3:aks,p:aked,r:aker
akita|s:akitas
Akkadian|s:akkadians
akroyd|s:akroyds
alabamian|s:alabamians
alabaster|s:alabasters
alarm|s:alarms,d:alarmed,p:alarmed,i:alarming,3:alarms
alarmist|s:alarmists
alaskan|s:alaskans
alata|s:alatas
Alawite|s:alawites
alb|s:albs
albanian|s:albanians
albatross|s:albatrosses
alber|s:albers
albertan|s:albertans
Albian|s:albians
Albigensian|s:albigensians
albino|s:albinos
album|s:albums
albumin|s:albumins
alchemise|p:alchemised,i:alchemising
alchemist|s:alchemists
alchemize|i:alchemizing,p:alchemized,3:alchemizes,d:alchemized
alcibiade|s:alcibiades,3:alcibiades
alcohol|s:alcohols
alcoholic|s:alcoholics
alcoholize|i:alcoholizing,p:alcoholized,3:alcoholizes,d:alcoholized
alcove|s:alcoves
aldehyde|s:aldehydes
alden|s:aldens
alder|s:alders
alderman|s:aldermen
aldh|s:aldhs
Aldine|s:aldines
ale|s:ales,p:aled,3:ales
ale-house|s:ale-houses
alec|s:alecs
alehouse|s:alehouses
alek|s:aleks
aleksandra|s:aleksandras
aleman|s:alemans
alembic|s:alembics
alert|d:alerted,p:alerted,i:alerting,3:alerts,s:alerts
alerter|s:alerters
Aleut|s:aleuts
Alexandrine|s:alexandrines
alfa-romeo|s:alfa-romeos
alga|s:algae
algebra|s:algebras
algebraist|s:algebraists
Algerian|s:algerians
algicide|s:algicides
alginate|s:alginates
algorithm|s:algorithms
aliase|s:aliases,i:aliasing
alibi|s:alibis,i:alibiing,p:alibied,3:alibis,d:alibied
alien|s:aliens,i:aliening,p:aliened,3:aliens,d:aliened
alienate|d:alienated,p:alienated,i:alienating,3:alienates
alienation|s:alienations
alienee|s:alienees
alienist|s:alienists
alight|p:alighted,i:alighting,3:alights,d:alighted
align|d:aligned,p:aligned,i:aligning,3:aligns
alignment|s:alignments
aliment|i:alimenting,p:alimented,3:aliments,d:alimented
alimony|s:alimonies
aline|i:alining,p:alined,3:alines,d:alined
alio|s:alios
aliphatic|s:aliphatics
aliquot|s:aliquots,3:aliquots
alkali|s:alkalis
alkalify|i:alkalifying,p:alkalified,3:alkalifies,d:alkalified
alkaline|s:alkalines
alkalinity|s:alkalinities
alkalize|i:alkalizing,p:alkalized,3:alkalizes,d:alkalized
alkaloid|s:alkaloids
alkane|s:alkanes
alkanol|s:alkanols
alkene|s:alkenes
alky|s:alkies
alkyd|s:alkyds
alkyl|s:alkyls
alkylate|i:alkylating,p:alkylated
alkyne|s:alkynes
all-American|s:all-americans
all-expense|s:all-expenses
all-in-one|s:all-in-ones
all-nighter|s:all-nighters
all-rounder|s:all-rounders
all-seater|s:all-seaters
all-star|s:all-stars
allam|s:allams
allay|d:allayed,p:allayed,i:allaying,3:allays
alle|s:alles
allegation|s:allegations
allege|d:alleged,p:alleged,i:alleging,3:alleges
allegiance|s:allegiances
allegorise|p:allegorised,i:allegorising
allegorize|p:allegorized,d:allegorized,i:allegorizing,3:allegorizes
allegorizer|s:allegorizers
allegory|s:allegories
allegretto|s:allegrettos
allegro|s:allegros
allele|s:alleles
alleluia|s:alleluias
aller|s:allers
allergen|s:allergens
allergist|s:allergists
allergy|s:allergies
alleviate|d:alleviated,i:alleviating,3:alleviates,p:alleviated
alley|s:alleys
alley-way|s:alley-ways
Alleynian|s:alleynians
alleyway|s:alleyways
alliance|s:alliances
alligator|s:alligators,f:alligators
Allinson|s:allinsons
alliterate|p:alliterated,i:alliterating,3:alliterates,d:alliterated
alliteration|s:alliterations
Allium|s:alliums
alloantigen|s:alloantigens
allocate|d:allocated,i:allocating,3:allocates,p:allocated
allocation|s:allocations
allocator|s:allocators
allod|s:allods
allograft|s:allografts
allograph|s:allographs
allometry|s:allometries
allomorph|s:allomorphs
allophone|s:allophones
allot|d:allotted,i:allotting,3:allots,p:allotted
allotment|s:allotments
allotrope|s:allotropes
allottee|s:allottees
allow|d:allowed,i:allowing,3:allows,p:allowed
allowance|s:allowances,i:allowancing,p:allowanced,3:allowances,d:allowanced
alloy|s:alloys,i:alloying,d:alloyed,p:alloyed,3:alloys
allrounder|s:allrounders
allsopp|s:allsopps
allude|p:alluded,i:alluding,d:alluded,3:alludes
allure|d:allured,p:allured,i:alluring,3:allures
allurement|s:allurements
allusion|s:allusions
allway|s:allways
ally|s:allies,d:allied,p:allied,i:allying,3:allies
alm|s:alms
almain|s:almains
almanac|s:almanacs
almanack|s:almanacks
almond|s:almonds
almoner|s:almoners
Almoravid|s:almoravids
alms-house|s:alms-houses
almshouse|s:almshouses
alo|s:alos
aloe|s:aloes
alot|d:alotted
alouette|s:alouettes
alp|s:alps
alpaca|s:alpacas
alpha|s:alphas
alpha-blocker|s:alpha-blockers
alpha-particle|s:alpha-particles
alpha-wave|s:alpha-waves
alphabet|s:alphabets
alphabetise|3:alphabetises
alphabetize|i:alphabetizing,p:alphabetized,3:alphabetizes,d:alphabetized
alphanumeric|s:alphanumerics
alpine|s:alpines
alpinist|s:alpinists
alr|p:alred
